Hidetaka Miyazaki,Fumito Ueda
Fumito Ueda,Kenji Eno
Kenji Eno,Takeshi Nozue
Kenji Eno,Ichiro Itano
Kenji Eno,Kenichi Nishi
Fumito Ueda,Shuhei Yoshida
Hidetaka Miyazaki,Yuji Horii
Yuji Horii,Hideo Kojima
Hideo Kojima,Shigeru Miyamoto
Hideo Kojima,Jeremy Blaustein
Hideo Kojima,Masahiro Sakurai
Hideo Kojima,Chiyomaru Shikura
Hidetaka Miyazaki,H.P. Lovecraft
H.P. Lovecraft,Sonia Greene
Sonia Greene,Samuel Greene
Sonia Greene,Dr. Nathaniel Abraham Davis
H.P. Lovecraft,C. M. Eddy Jr.
C. M. Eddy Jr.,Muriel E. Eddy
H.P. Lovecraft,W. Paul Cook
W. Paul Cook,Leland Hawes
W. Paul Cook,Sean Donnelly
H.P. Lovecraft,Samuel Loveman
Samuel Loveman,Hart Crane
Samuel Loveman,W. Paul Cook
Samuel Loveman,S. T. Joshi
Samuel Loveman,David E. Schultz
Samuel Loveman,Allen Tate
Samuel Loveman,Frank Bellknap Long
H.P. Lovecraft,Clark Ashton
Clark Ashton,George Sterling
Clark Ashton,Joaquin Miller
Clark Ashton,Nora May French
Clark Ashton,Robert E. Howard
H.P. Lovecraft,August Derelith
August Derelith,Mark Schorer
August Derelith,Donald Wandrei
Hidetaka Miyazaki,Bram Stoker
Bram Stoker,Henry Irving
Bram Stoker,Dr. Maunsell
Bram Stoker,Hall Caine
Hall Caine,Francis Tumblety
Hall Caine,William Tirebuck
Hall Caine,James Bromly
Hall Caine,George Rose
Hall Caine,Ford Madox Brown
Hall Caine,Eric Robertson
Bram Stoker,J. W. Brodie-Innes
Hidetaka Miyazaki,George R. R. Martin
George R. R. Martin,Tom Reamy
Tom Reamy,James Benford
Tom Reamy,Gregory Benford
Tom Reamy,Marion Zimmer Bradley
Tom Reamy,Forrest J. Ackerman
George R. R. Martin,Gardner Dozois
Gardner Dozois,Frederik Pohl
